Type,Requirement
SE,'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.'
F,'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.'
SE,'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.'
US,'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.'
F,'The system shall notify customers of changes to its information policy.'
L,The system shall reveal private information only in compliance with the organization's information policy.'
SE,The system shall reveal private information only in compliance with the organization's information policy.'
SE,'All customer information will be stored on a secure database accessible only to authorized personnel.'
SE,'All credit card information will be encrypted in the database.'
SE,'The streaming server will have anti-virus software to prevent infection of malicious viruses.'
LF,'The website should cater to all tribes in Nigeria.'
US,'The website should cater to all tribes in Nigeria.'
LF,'The website shall not be offensive to religious or ethnic groups.'
LF,'The website should appeal to all Africans not only Nigerians.'
LF,'The website should use Flash to provide animation on the home page.'
O,'The website should use Flash to provide animation on the home page.'
L,'IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.'
L,'The website will comply with W3C standards.'
SE,'The website will comply with W3C standards.'
L,'The PHP code will comply with PEAR standards.'
SE,'The PHP code will comply with PEAR standards.'
F,'The website will allow customers to search for movies by title actor or director.'
F,'viewing a movie details the website will display the movies description actor and director entered in by the administrator.'
F,'Website shall request and authorize credit card payment before allowing a user to stream a movie.'
F,'shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.'
F,'Website shall allow customers to browse movies by categories entered in by izogn administrator.'
F,'Website shall allow customers to view reviews of selected movies by other customers.'
F,'Website shall allow customers to add their own movie review for a selected movie.'
F,'Website shall allow the Izogn administrator to approve a review posted by a customer.'
F,'System will allow customers to pay for a streaming movie with a pre-paid card.'
F,'Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.'
F,'System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.'
F,'System shall allow users to update their billing and contact information via the â€œMy Accountâ€ section of the website.'
F,'Pre-paid cards shall be distributed via email or via a printed paper card.'
F,'Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.'
F,'Website must be able to support free trial periods with various parameters set by the Izogn Manager.'
F,'All streaming movie sales will be logged in the database and accessible by the administrator.'
A,'All streaming movie sales will be logged in the database and accessible by the administrator.'
F,'All registered customer information shall be stored and maintained in the database even after the customer cancels their account.'
F,'Daily usage statistics should be logged and accessible by the administrator.'
MN,'Daily usage statistics should be logged and accessible by the administrator.'
A,'The owner shall have free access to all of the streaming movies.'
SE,'The owner shall have free access to all of the streaming movies.'
US,'The owner shall have free access to all of the streaming movies.'
A,'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.'
PE,'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.'
A,'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.'
PE,'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.'
F,'For leads that process longer than 25 seconds the system will record the event and duration'
PE,'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.'
O,'The lead washing process will operate within the established physical web service structure.'
O,'The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.'
A,'Defect reports will be available to technical units on a 24x7 basis.'
FT,'Defect reports will be available to technical units on a 24x7 basis.'
MN,'Washing parameters will be updated during scheduled maintenance hours.'
F,'The vendor will verify the invalid lead.'
F,'Vendor will submit a credit validation record to be applied to the enterprise billing system.'
F,'If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.'
F,'The leads washing functionality will validate all leads received by the web service for valid data'
F,'The leads washing functionality will insert all leads captured by the web service.'
F,'If the leads score falls within the high average score then it will be process by the ARA functionality.'
F,'If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.'
F,'If the leads score falls within the low average then it will be returned to the supplying vendor'
F,'The leads washing functionality will compile both contact and academic scoring information for a total score.'
F,'The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.'
F,'The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.'
F,'The leads washing functionality will have an interface in which lead data parameters can be maintained.'
F,'The leads washing functionality will verify the users authentication and rights to make parameter updates.'
F,'The leads washing functionality will store any potential lead duplicates returned by the enterprise system.'
F,'Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.'
F,'The leads washing functionality shall receive a period list of available reps from the enterprise system.'
LF,'The product shall simulate the look of ships at sea.'
LF,'The product shall display the grids within a circle as a view from a periscope.'
LF,'The product shall display each type of ship in a grid using an image of the specific type of ship.'
F,'When the offensive player takes a shot the product shall simulate the sound of a ship at sea.'
LF,'When the offensive player takes a shot the product shall simulate the sound of a ship at sea.'
F,'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.'
LF,'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.'
F,'When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.'
LF,'When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.'
F,'When a ship is sunk the product shall simulate the sound of a sinking ship.'
LF,'When a ship is sunk the product shall simulate the sound of a sinking ship.'
A,'The product shall be available 24 hours per day seven days per week.'
PE,'The product shall able to handle a large number of games simultaneously.'
SC,'The product shall able to handle a large number of games simultaneously.'
PE,'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.'
SE,'The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.'
US,'The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.'
F,'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.'
US,'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.'
SE,'The product shall provide players no access to information that might reveal the identity of another player'
F,'The product shall maintain a list of players.'
F,'The product shall allow a user to identify himself or herself as a player.'
F,'Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.'
F,'The product shall allow a user to remove himself or herself from the list of players at any time.'
F,'The product shall make inactive players unavailable for selection from the list of players.'
F,'The product shall remove players who have been inactive for 24 hours from the list of players.'
F,'The product shall allow a player to initiate a game by selecting another available player from the list of players.'
F,'Once a game is initiated the product shall display a defensive grid to each player'
F,'Once a game is initiated the product shall display an offensive grid to each player.'
F,'The product shall prevent a player from viewing the offensive or defensive grids of the other player.'
F,'Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.'
F,'The product shall allow a player to position ships horizontally on their grid.'
F,'The product shall allow the player to position ships vertically on their grid.'
F,'The product shall allow the player to position ships diagonally on their grid'
F,'The product shall prevent the player from overlapping ships on their grid.'
F,'When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn.'
F,'For each turn the product shall identify one player as offensive status and one player as defensive status.'
F,'The product shall maintain the status of each player for a turn either offensive or defensive.'
F,'At the start of each turn the product shall notify each player of his or her status.'
F,'For each turn the product shall allow the offensive player to define a shot.'
F,'For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.'
F,'For each shot the product shall notify the players whether the shot was a hit or miss.'
F,'For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.'
F,'For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.'
F,'When the hit results in sinking a ship the product shall notify the players that the ship was sunk.'
F,'When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.'
F,'When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.'
F,'When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.'
F,'If the shot was marked as a hit the product shall allow the offensive player to define a shot.'
F,'If the shot was marked as a miss the product shall change the status of the offensive player to defensive'
F,'If the shot was marked as a miss the product shall change the status of the defensive player to offensive'
F,'The product shall continue to assign turns until the game is ended.'
F,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player's ships which had not been previously marked as sunk.'
F,'The product shall allow a player to end a game at any time during the game.'
F,'When a game is ended the product shall notify the players that the game is ended.'
F,'The notification of the game ending will include the reason the game is ended (i.e. a player has won the game or a player has ended the game).'
F,'When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.'
F,'When a game is ended the product shall allow each player to remove himself or herself from the list of players.'
PE,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.'
US,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.'
US,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.'
PE,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.'
US,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.'
A,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.'
PE,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.'
A,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.'
PE,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.'
A,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.'
A,The system must be available for use between 7:00AM and 11:59PM all days of the year.'
PO,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.'
F,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.'
SE,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.'
F,The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.'
SE,The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.'
F,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.'
SE,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.'
LF,The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.'
LF,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.'
PE,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.'
F,'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.'
MN,'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.'
O,'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.'
L,'The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.'
LF,'The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.'
F,'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.'
US,'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.'
F,'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.'
FT,'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.'
MN,'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.'
US,'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.'
F,'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)'
US,'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)'
F,'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications'
PE,'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications'
US,'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications'
PE,'The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.'
SC,'The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.'
US,'The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.'
F,'The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds'
PE,'The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds'
F,'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.'
PE,'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.'
F,'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.'
FT,'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.'
SC,'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.'
A,'The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.'
FT,'The product shall be robust.The product shall have fault avoidance based on standards adoption.'
PE,'The product shall be robust.The product shall have fault avoidance based on standards adoption.'
FT,'The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.'
PE,'The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.'
SC,'The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.'
O,'The product shall be platform independent.The product shall enable access to any type of development environment and platform.'
PO,'The product shall be platform independent.The product shall enable access to any type of development environment and platform.'
O,'The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.'
MN,': The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.'
PO,': The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.'
MN,'The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.'
MN,'The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.'
PO,'The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.'
SE,'The product shall have security.The product shall provide authentication and authorization.'
SE,'The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.'
SE,'The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.'
LF,'The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.'
LF,'The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.'
PO,'The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.'
LF,'The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports'
F,The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface'
LF,The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface'
LF,'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard'
US,'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard'
LF,'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.'
US,'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.'
O,Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report)'
US,Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report)'
US,'A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.'
,'All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)'
L,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.'
LF,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.'
US,'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.'
A,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.'
PO,'The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.'
SC,'The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.'
SC,'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.'
US,'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.'
O,'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.'
PO,'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.'
F,'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.'
LF,'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.'
O,'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.'
F,'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.'
FT,'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.'
MN,'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.'
MN,'All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation'
SE,'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.'
SE,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.'
SE,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page'
L,'The Commissioner will be the only authorized user per league to adjust league settings.'
SE,'The Commissioner will be the only authorized user per league to adjust league settings.'
LF,'Each page shall contain a navigation menu which shows the index into which the current page is contained.'
LF,'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.'
US,'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.'
F,'The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.'
LF,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.'
PE,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.'
US,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.'
LF,"Users shall be able to reach the 'add' , drop',  and 'trade player' pages with one click from the team owner's page.'"
US,"Users shall be able to reach the 'add' , drop',  and 'trade player' pages with one click from the team owner's page.'"
F,'Users shall be able to view at least 25 NFL player statistics and points on each page.'
PE,'Users shall be able to view at least 25 NFL player statistics and points on each page.'
F,'The application shall ask the user to confirm dropping a player or trading a player before performing the action.'
A,'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.'
PE,'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.'
A,'The application shall have a downtime of at most 10 minutes per year.'
O,'The application shall run on a web application server.'
MN,'A primary database will be used to store cached data for active users.'
O,'A primary database will be used to store cached data for active users.'
MN,'A secondary database will be used to store historical statistics and data.'
O,'A secondary database will be used to store historical statistics and data.'
MN,'Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.'
MN,'New System version releases shall be released at the beginning of each NFL season.'
A,'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.'
FT,'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.'
PE,'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.'
O,'98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.'
O,'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls'
O,The RFS system should be able to easily interface with the BDW environment in order to load the data. Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.'
PE,The RFS system should be able to easily interface with the BDW environment in order to load the data. Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.'
L,'Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.'
MN,'Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.'
A,'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.'
MN,'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.'
SE,'Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.'
SE,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role.'
L,'The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.'
LF,'The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.'
LF,'The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.'
US,'The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.'
A,'The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.'
PE,'The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.'
PE,"The system must provide a fast and efficient parsing process, under 2 seconds."
PE,CV parsing speed must be optimized to under 2 seconds.
PE,System should respond in less than 1 second.
PE,System performance can vary under load.
PE,Performance is not critical for this system.
PE,System should process 1000 transactions per second.
PE,The application must load the dashboard in under 2 seconds.
PE,The response time for any API call should not exceed 500 milliseconds.
PE,"The system must support 10,000 concurrent users without degradation."
PE,Reports should be generated within 3 seconds after user request.
PE,System performance must remain stable under heavy traffic conditions.
PE,Database queries should execute in less than 200ms.
PE,The server must maintain uptime of 99.9% with minimal latency.
PE,Performance is not a primary concern for this application.
PE,System may take up to 30 seconds to complete background tasks.
PE,Response time under load may exceed 10 seconds.
PE,Batch processing may take several minutes to complete.
PE,System is expected to run on a single-user mode with minimal performance requirements.
PE,Delays in data retrieval are acceptable for this prototype version.
PE,The system must be highly responsive and efficient.
PE,Application speed is a top priority.
PE,System should perform operations instantly.
PE,Users should experience no lag while using the system.
PE,Performance must be optimized for quick user interaction.
PE,System performance may vary depending on network speed.
PE,Response time might fluctuate during peak hours.
PE,Performance depends on the size of the data being processed.
PE,Application speed may differ across hardware configurations.
PE,System performance can vary under heavy load.
PE,The system might slow down when multiple background jobs are running.
PE,Performance may depend on available system resources.
PE,Response times may differ based on concurrent user activity.
PE,System speed may vary when accessing remote servers.
PE,The system can take up to 30 seconds to complete operations.
PE,Delays in processing are acceptable for background tasks.
PE,Batch jobs may take several minutes to complete.
PE,"System performance may degrade during high traffic, which is acceptable."
PE,Fast response time is not a key requirement.
PE,System may take noticeable time to start up.
PE,Performance tuning will be addressed in future releases.
PE,The system can generate reports within 50 seconds.
PE,Minor delays are acceptable for non-critical processes.
PE,The prototype version may have reduced performance.
PE,The system must respond in less than 1 second for all user actions.
PE,API calls should return results within 500 milliseconds.
PE,Dashboard should load in under 2 seconds even under peak load.
PE,Database queries must execute within 100ms.
PE,"System should handle at least 10,000 concurrent requests per minute."
PE,The parsing module should process a CV in less than 2 seconds.
PE,The application should have minimal latency under heavy usage.
PE,Users must experience instant feedback when performing actions.
PE,The system shall process 1000 transactions per second.
PE,Performance optimization is critical to meet user expectations.
PE,System must remain responsive during high network traffic.
PE,Processing time for any operation must not exceed 1 second.
PE,Application must run smoothly even with large datasets.
PE,The server should maintain a latency below 100 ms.
PE,The API should scale efficiently without performance degradation.
PE,Real-time analytics must be delivered within 2 seconds.
PE,Performance should not degrade as concurrent users increase.
PE,Application startup time should be less than 3 seconds.
PE,System must provide a consistent response time of under 2 seconds.
PE,The user interface must react instantly to user input.
PE,System performance may depend on data size and hardware resources.
PE,Response time may vary depending on concurrent users.
PE,Performance can fluctuate based on network conditions.
PE,The application may slow down during peak hours.
PE,Processing time may increase with complex data.
PE,System performance might change with heavy background tasks.
PE,Performance depends on system configuration and environment.
PE,The system may temporarily degrade under high load.
PE,Response time varies depending on server workload.
PE,Processing speed may differ across user devices.
PE,System throughput may decrease when handling large files.
PE,Performance may vary depending on database size.
PE,Application speed depends on available memory and CPU.
PE,Response time might fluctuate when using external APIs.
PE,System latency may vary based on connection quality.
PE,Performance depends on concurrent read/write operations.
PE,The system may show slower response during maintenance.
PE,Performance might be reduced on mobile devices.
PE,Throughput may change depending on server load.
PE,Performance is not a primary concern for this prototype.
PE,Delays in response are acceptable for background processes.
PE,System may take up to 30 seconds to start.
PE,Response time exceeding 10 seconds is acceptable for this phase.
PE,The application can tolerate delays during data import.
PE,Speed optimization is not required for the current version.
PE,Minor lag is acceptable during peak usage.
PE,The system may take noticeable time to complete operations.
PE,Performance tuning will be addressed in future updates.
PE,Prototype version may have reduced speed and responsiveness.
PE,System may take several seconds to load reports.
PE,Long response times are acceptable for non-critical modules.
PE,Application speed is not a key requirement.
PE,Data refresh delays are tolerable for testing environment.
PE,Performance degradation is acceptable under heavy computation.
PE,System may perform slower under heavy data processing.
PE,Execution delays are permissible for scheduled jobs.
PE,Background jobs can run for several minutes without issue.
PE,User interaction speed is not critical for internal tools.
SE,System must use strong encryption and authentication.
SE,"The system shall display a warning to the user after 30 minutes of inactivity, but no automatic logout or session termination is enforced."
SE,"The system shall require users to create passwords with at least 8 characters, including uppercase, lowercase, and numeric digits. Passwords must be stored using basic hashing, but no multi-factor authentication is required."
SE,Basic password protection is sufficient.
SE,All user data must be encrypted in transit and at rest.
